A few hundred additional described species
Abacaelostus filicornis
Abacops rugipennis
Abaeis nicippe
Abaeis nicippiformis
Abantiades albofasciatus
Abantiades aphenges
Abantiades aurilegulus
Abantiades barcas
Abantiades fulvomarginatus
Abantiades hyalinatus
Abantiades hydrographus
Abantiades labyrinthicus
Abantiades latipennis
Abantiades leucochiton
Abantiades magnificus
Abantiades marcidus
Abantiades ocellatus
Abantiades sericatuas
Abariform clade
Abaris aenea
Abaris aequinoctialis
Abaris aquilonaria
Abaris basistriata
Abaris bicolor
Abaris bigenera
Abaris convexa
Abaris erwini
Abaris franiai
Abaris impunctata
Abaris inaequaloides
Abaris inflata
Abaris metallica
Abaris mina
Abaris napoensis
Abaris nigra
Abaris nitida
Abaris nobilis
Abaris notiophiloides
Abaris opaca
Abaris picipes
Abaris retiaria
Abaris robustual
Abaris sensu stricto
Abaris splendidula
Abaris tachypoides
Abaris wardi
Abeliophyllum distichum
Aberis striolata
Abralia andamanica
Abralia armata
Abralia astrolineata
Abralia astrosticta
Abralia dubia
Abralia fasciolata
Abralia grimpei
Abralia heminuchalis
Abralia marisarabica
Abralia multihamata
Abralia redfieldi
Abralia renschi
Abralia robsoni
Abralia siedleckyi
Abralia similis
Abralia spaercki
Abralia steindachneri
Abralia trigonura
Abralia veranyi
Abraliopsis affinis
Abraliopsis atlantica
Abraliopsis chuni
Abraliopsis falco
Abraliopsis felis
Abraliopsis gilchristi
Abraliopsis hoylei
Abraliopsis lineata
Abraliopsis pacificus
Abraliopsis pfefferi
Abraliopsis tui
Abropus carnifex
Abrothicine group
Acacia subgenus Acacia
Acacia subgenus Aculeiferum
Acacia subgenus Phyllodineae
Acanthobrahmaea europaea
Acanthobunocephalus nicoi
Acanthogilia gloriosa
Acanthognathus brevicornis
Acanthognathus lentus
Acanthognathus ocellatus
Acanthognathus poinari
Acanthognathus rudis
Acanthognathus stipulosus
Acanthognathus teledectus
Acanthomyops arizonicus
Acanthomyops bureni
Acanthomyops californicus
Acanthomyops claviger
Acanthomyops colei
Acanthomyops coloradensis
Acanthomyops creightoni
Acanthomyops interjectus
Acanthomyops latipes
Acanthomyops mexicanus
Acanthomyops murphyi
Acanthomyops occidentalis
Acanthomyops plumopilosus
Acanthomyops pogonogynus
Acanthomyops pubescens
Acanthomyops subglaber
Acanthomyrmex basispinosus
Acanthomyrmex careoscrobis
Acanthomyrmex concavus
Acanthomyrmex crassispinus
Acanthomyrmex dusun
Acanthomyrmex ferox
Acanthomyrmex foveolatus
Acanthomyrmex glabfemoralis
Acanthomyrmex laevis
Acanthomyrmex luciolae
Acanthomyrmex mindanao
Acanthomyrmex notabilis
