Tachyglossus aculeatus
Zaglossus bruijni
Ornithorhynchus anatinus
Anomalurus beecrofti
Anomalurus derbianus
Anomalurus pelii
Anomalurus pusillus
Zenkerella insignis
Idiurus macrotis
Idiurus zenkeri
Pedetes capensis
Allactaga elater
Allactaga balikunica
Allactaga bullata
Allactaga euphratica
Allactaga firouzi
Allactaga hotsoni
Allactaga major
Allactaga severtzovi
Allactaga sibirica
Allactaga tetradactyla
Allactaga vinogradovi
Allactodipus bobrinskii
Paradipus ctenodactylus
Euchoreutes naso
Sicista betulina
Sicista tianshanica
Sicista kazbegica
Sicista armenica
Sicista caucasica
Sicista caudata
Sicista concolor
Sicista kluchorica
Sicista napaea
Sicista pseudonapaea
Sicista severtzovi
Sicista strandi
Sicista subtilis
Dipus sagitta
Eremodipus lichtensteini
Jaculus jaculus
Jaculus blanfordi
Jaculus orientalis
Jaculus turcmenicus
Stylodipus andrewsi
Stylodipus sungorus
Stylodipus telum
Napaeozapus insignis
Eozapus setchuanus
Zapus hudsonius
Zapus princeps
Zapus trinotatus
Cardiocranius paradoxus
Salpingotus crassicauda
Salpingotus heptneri
Salpingotus kozlovi
Salpingotus michaelis
Salpingotus pallidus
Salpingotus thomasi
Pygeretmus pumilio
Pygeretmus platyurus
Pygeretmus shitkovi
Abditomys latidens
Bullimus bagobus
Bullimus luzonicus
Limnomys sibuanus
Tarsomys apoensis
Tarsomys echinatus
Tryphomys adustus
Acomys cahirinus
Acomys cilicicus
Acomys cinerasceus
Acomys ignitus
Acomys kempi
Acomys minous
Acomys mullah
Acomys nesiotes
Acomys percivali
Acomys russatus
Acomys spinosissimus
Acomys subspinosus
Acomys wilsoni
Acomys louisae
Lophuromys cinereus
Lophuromys flavopunctatus
Lophuromys luteogaster
Lophuromys medicaudatus
Lophuromys melanonyx
Lophuromys nudicaudus
Lophuromys rahmi
Lophuromys sikapusi
Lophuromys woosnami
Uranomys ruddi
Aethomys bocagei
Aethomys chrysophilus
Aethomys granti
Aethomys hindei
Aethomys kaiseri
Aethomys namaquensis
